jahr;standortgemeinde;code;kategorie;durchschnittsbestand_stueck;durchschnittsbestand_grossvieheinheiten
2024;Aadorf;1128;Rindvieh, weibliche Tiere über 365 bis 730 Tage;84.8906;33.9562
2024;Aadorf;1129;Rindvieh, männliche Tiere über 365 bis 730 Tage;2.3497;0.9399
2024;Aadorf;1141;Rindvieh, weibliche Tiere über 160 bis 365 Tage;64.5548;21.3032
2024;Aadorf;1144;Rindvieh, männliche Tiere bis 160 Tage alt;72.3334;9.4035
2024;Aadorf;1262;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;50.6009;17.7104
2024;Aadorf;1263;Equiden, Hengste über 900 Tage, bis 148 cm;11.7514;4.113
2024;Aadorf;1352;Andere Schafe über 365 Tage alt, weiblich;632.7349;107.5649
2024;Aadorf;1466;Jungziegen über 180 Tage bis 365 Tage alt;7.0656;0.4239
2024;Aadorf;1581;Lamas über 2-jährig;3.0;0.51
2024;Aadorf;1621;Zuchteber;2.0;0.5
2024;Aadorf;1751;Bruteier produzierende Hennen und Hähne (Mastlinien);8.0;0.08
2024;Aadorf;1863;Andere Kaninchen;12.0;0.0
2024;Aadorf;1872;Gänse;2.0;0.024
2024;Aadorf;1884;Pelztiere aller Art (Nerz);4.0;0.0
2024;Affeltrangen;1128;Rindvieh, weibliche Tiere über 365 bis 730 Tage;147.7048;59.082
2024;Affeltrangen;1129;Rindvieh, männliche Tiere über 365 bis 730 Tage;48.817;19.5267
2024;Affeltrangen;1144;Rindvieh, männliche Tiere bis 160 Tage alt;303.8849;39.5052
2024;Affeltrangen;1224;Equiden, Jungtiere über 180 Tage bis 900 Tage, ab 148 cm;8.3853;4.1925
2024;Affeltrangen;1264;Equiden, Jungtiere über 180 Tage bis 900 Tage, bis 148 cm;1.2923;0.3231
2024;Affeltrangen;1354;Andere Schafe über 365 Tage alt, männlich;7.4891;1.2731
2024;Affeltrangen;1356;Jungschafe über 180 Tage bis 365 Tage alt;32.9836;1.9789
2024;Affeltrangen;1358;Lämmer bis 180 Tage alt;83.3607;2.5009
2024;Affeltrangen;1581;Lamas über 2-jährig;10.0;1.7
2024;Affeltrangen;1621;Zuchteber;4.0;1.0
2024;Affeltrangen;1635;Saugferkel (im Faktor des weiblichen Tieres eingerechnet);730.0;0.0
2024;Affeltrangen;1753;Konsumeier produzierende Hennen;601.0;6.01
2024;Affeltrangen;1755;Junghennen, Junghähne und Kücken für die Eierproduktion;3.0;0.012
2024;Affeltrangen;1861;Produzierende Zibben;15.0;0.51
2024;Affeltrangen;1863;Andere Kaninchen;32.0;0.0
2024;Affeltrangen;1872;Gänse;9.0;0.108
2024;Affeltrangen;1882;Bienenvölker;180.0;0.0
2024;Altnau;1128;Rindvieh, weibliche Tiere über 365 bis 730 Tage;18.6775;7.471
2024;Altnau;1129;Rindvieh, männliche Tiere über 365 bis 730 Tage;2.0983;0.8393
2024;Altnau;1352;Andere Schafe über 365 Tage alt, weiblich;138.8743;23.6086
2024;Altnau;1354;Andere Schafe über 365 Tage alt, männlich;18.0601;3.0702
2024;Altnau;1358;Lämmer bis 180 Tage alt;49.582;1.4875
2024;Altnau;1462;Andere Ziegen über 365 Tage alt, weiblich;11.5956;1.9713
2024;Altnau;1464;Andere Ziegen über 365 Tage alt, männlich;9.1502;1.5556
2024;Altnau;1611;Säugende Zuchtsauen;38.0;20.9
2024;Altnau;1621;Zuchteber;2.0;0.5
2024;Altnau;1876;Wachteln;1.0;0.004
2024;Amlikon-Bissegg;1142;Rindvieh, weibliche Tiere bis 160 Tage alt;160.1393;20.8182
2024;Amlikon-Bissegg;1150;Andere Kühe;54.0027;54.0027
2024;Amlikon-Bissegg;1223;Equiden, Hengste über 900 Tage, ab 148 cm;17.9016;12.5311
2024;Amlikon-Bissegg;1263;Equiden, Hengste über 900 Tage, bis 148 cm;13.2678;4.6438
2024;Amlikon-Bissegg;1265;Equiden, Fohlen bis 180 Tage, bis 148 cm;0.0191;0.0029
2024;Amlikon-Bissegg;1351;Milchschafe;0.2104;0.0526
2024;Amlikon-Bissegg;1354;Andere Schafe über 365 Tage alt, männlich;30.7404;5.2259
2024;Amlikon-Bissegg;1356;Jungschafe über 180 Tage bis 365 Tage alt;62.7541;3.7652
2024;Amlikon-Bissegg;1464;Andere Ziegen über 365 Tage alt, männlich;13.3332;2.2667
2024;Amlikon-Bissegg;1468;Zicklein bis 180 Tage alt;4.7514;0.1425
2024;Amlikon-Bissegg;1611;Säugende Zuchtsauen;76.0;41.8
2024;Amlikon-Bissegg;1639;Mastschweine und Remonten bis 6 Monate alt;3817.0;648.89
2024;Amlikon-Bissegg;1754;Bruteier produzierende Hennen und Hähne (Legelinien);40.0;0.4
2024;Amlikon-Bissegg;1755;Junghennen, Junghähne und Kücken für die Eierproduktion;26458.0;105.832
2024;Amlikon-Bissegg;1763;Trutenausmast;25.0;0.7
2024;Amlikon-Bissegg;1902;Wollschweine;2.0;0.0
2024;Amriswil;1143;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;45.9263;15.1556
2024;Amriswil;1144;Rindvieh, männliche Tiere bis 160 Tage alt;137.863;17.9219
2024;Amriswil;1223;Equiden, Hengste über 900 Tage, ab 148 cm;5.6967;3.9877
2024;Amriswil;1262;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;92.2078;32.2727
2024;Amriswil;1264;Equiden, Jungtiere über 180 Tage bis 900 Tage, bis 148 cm;7.4481;1.862
2024;Amriswil;1356;Jungschafe über 180 Tage bis 365 Tage alt;15.7104;0.9426
2024;Amriswil;1358;Lämmer bis 180 Tage alt;39.5328;1.1861
2024;Amriswil;1461;Milchziegen;5.5137;1.1027
2024;Amriswil;1462;Andere Ziegen über 365 Tage alt, weiblich;57.7923;9.8248
2024;Amriswil;1586;Alpakas unter 2-jährig;1.0;0.07
2024;Amriswil;1615;Nicht säugende Zuchtsauen über 6 Monate alt;340.0;88.4
2024;Amriswil;1635;Saugferkel (im Faktor des weiblichen Tieres eingerechnet);745.0;0.0
2024;Amriswil;1753;Konsumeier produzierende Hennen;2208.0;22.08
2024;Amriswil;1754;Bruteier produzierende Hennen und Hähne (Legelinien);40.0;0.4
2024;Amriswil;1755;Junghennen, Junghähne und Kücken für die Eierproduktion;70.0;0.28
2024;Amriswil;1862;Jungtiere (Mast bzw. Aufzucht);5.0;0.055
2024;Amriswil;1863;Andere Kaninchen;12.0;0.0
2024;Amriswil;1882;Bienenvölker;203.0;0.0
2024;Amriswil;1890;übriges Geflügel (Rebhühner, Pfauen, Fasane, usw.);3.0;0.0
2024;Amriswil;1902;Wollschweine;14.0;0.0
2024;Appenzell;1142;Rindvieh, weibliche Tiere bis 160 Tage alt;0.1202;0.0156
2024;Arbon;1124;Rindvieh, männliche Tiere über 730 Tage;0.5738;0.3443
2024;Arbon;1128;Rindvieh, weibliche Tiere über 365 bis 730 Tage;10.7651;4.306
2024;Arbon;1143;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;13.1038;4.3243
2024;Arbon;1462;Andere Ziegen über 365 Tage alt, weiblich;1.4317;0.2434
2024;Arbon;1464;Andere Ziegen über 365 Tage alt, männlich;1.0;0.17
2024;Arbon;1753;Konsumeier produzierende Hennen;496.0;4.96
2024;Arbon;1754;Bruteier produzierende Hennen und Hähne (Legelinien);4.0;0.04
2024;Arbon;1862;Jungtiere (Mast bzw. Aufzucht);6.0;0.066
2024;Arbon;1872;Gänse;1.0;0.012
2024;Arbon;1876;Wachteln;1.0;0.004
2024;Arbon;1882;Bienenvölker;102.0;0.0
2024;Arbon;1903;Mini-Pigs;1.0;0.0
2024;Arbon;1971;Andere Tiere;4.0;0.0
2024;Avegno Gordevio;1123;Rindvieh, weibliche Tiere über 730 Tage;111.5519;66.9312
2024;Avegno Gordevio;1128;Rindvieh, weibliche Tiere über 365 bis 730 Tage;48.5464;19.4186
2024;Avegno Gordevio;1129;Rindvieh, männliche Tiere über 365 bis 730 Tage;33.5738;13.4296
2024;Avegno Gordevio;1142;Rindvieh, weibliche Tiere bis 160 Tage alt;21.7432;2.8266
2024;Avegno Gordevio;1144;Rindvieh, männliche Tiere bis 160 Tage alt;31.6421;4.1135
2024;Avegno Gordevio;1150;Andere Kühe;197.3934;197.3934
2024;Avegno Gordevio;1354;Andere Schafe über 365 Tage alt, männlich;0.8552;0.1454
2024;Avegno Gordevio;1464;Andere Ziegen über 365 Tage alt, männlich;1.7295;0.294
2024;Basadingen-Schlattingen;1128;Rindvieh, weibliche Tiere über 365 bis 730 Tage;38.9154;15.5661
2024;Basadingen-Schlattingen;1129;Rindvieh, männliche Tiere über 365 bis 730 Tage;21.1038;8.4415
2024;Basadingen-Schlattingen;1142;Rindvieh, weibliche Tiere bis 160 Tage alt;27.2567;3.5435
2024;Basadingen-Schlattingen;1143;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;54.5547;18.003
2024;Basadingen-Schlattingen;1356;Jungschafe über 180 Tage bis 365 Tage alt;4.1803;0.2508
2024;Basadingen-Schlattingen;1611;Säugende Zuchtsauen;15.0;8.25
2024;Basadingen-Schlattingen;1631;Abgesetzte Ferkel;170.0;10.2
2024;Basadingen-Schlattingen;1635;Saugferkel (im Faktor des weiblichen Tieres eingerechnet);155.0;0.0
2024;Basadingen-Schlattingen;1753;Konsumeier produzierende Hennen;2396.0;23.96
2024;Basadingen-Schlattingen;1757;Mastpoulets jeden Alters;29500.0;118.0
2024;Basadingen-Schlattingen;1872;Gänse;6.0;0.072
2024;Basadingen-Schlattingen;1882;Bienenvölker;79.0;0.0
2024;Bauma;1882;Bienenvölker;0.0;0.0
2024;Bellinzona;1123;Rindvieh, weibliche Tiere über 730 Tage;0.8142;0.4885
2024;Berg (TG);1123;Rindvieh, weibliche Tiere über 730 Tage;21.8172;13.0903
2024;Berg (TG);1124;Rindvieh, männliche Tiere über 730 Tage;3.1094;1.8656
2024;Berg (TG);1128;Rindvieh, weibliche Tiere über 365 bis 730 Tage;94.8441;37.9378
2024;Berg (TG);1143;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;6.4619;2.1324
2024;Berg (TG);1144;Rindvieh, männliche Tiere bis 160 Tage alt;96.5876;12.5565
2024;Berg (TG);1224;Equiden, Jungtiere über 180 Tage bis 900 Tage, ab 148 cm;0.0082;0.0041
2024;Berg (TG);1225;Equiden, Fohlen bis 180 Tage, ab 148 cm;0.4918;0.1475
2024;Berg (TG);1464;Andere Ziegen über 365 Tage alt, männlich;12.0;2.04
2024;Berg (TG);1585;Alpakas über 2-jährig;10.0;1.1
2024;Berg (TG);1621;Zuchteber;2.0;0.5
2024;Berg (TG);1753;Konsumeier produzierende Hennen;323.0;3.23
2024;Berg (TG);1861;Produzierende Zibben;5.0;0.17
2024;Berg (TG);1876;Wachteln;4.0;0.016
2024;Berg (TG);1883;Hundezucht;1.0;0.0
2024;Berlingen;1141;Rindvieh, weibliche Tiere über 160 bis 365 Tage;1.2869;0.4247
2024;Berlingen;1352;Andere Schafe über 365 Tage alt, weiblich;59.9318;10.1883
2024;Berlingen;1354;Andere Schafe über 365 Tage alt, männlich;10.5273;1.7896
2024;Berlingen;1862;Jungtiere (Mast bzw. Aufzucht);9.0;0.099
2024;Berlingen;1863;Andere Kaninchen;1.0;0.0
2024;Bettwiesen;1110;Milchkühe;322.8224;322.8224
2024;Bettwiesen;1142;Rindvieh, weibliche Tiere bis 160 Tage alt;53.1804;6.9134
