jahr;standortgemeinde;code;hauptkategorie;kategorie;durchschnittsbestand_stueck;durchschnittsbestand_grossvieheinheiten
2023;Aadorf;1110;Rindergattung und Wasserbüffel;Milchkühe;762.7996999999999;762.7996999999999
2023;Aadorf;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;31.0904;18.654200000000003
2023;Aadorf;1142;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere bis 160 Tage alt;117.64660000000002;15.294300000000002
2023;Aadorf;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;74.452;9.678700000000001
2023;Aadorf;1150;Rindergattung und Wasserbüffel;Andere Kühe;44.5561;44.5561
2023;Aadorf;1223;Pferdegattung;Equiden, Hengste über 900 Tage, ab 148 cm;12.4959;8.7471
2023;Aadorf;1263;Pferdegattung;Equiden, Hengste über 900 Tage, bis 148 cm;11.0959;3.8836000000000004
2023;Aadorf;1352;Schafgattung;Andere Schafe über 365 Tage alt, weiblich;585.811;99.5878
2023;Aadorf;1354;Schafgattung;Andere Schafe über 365 Tage alt, männlich;49.1589;8.357000000000001
2023;Aadorf;1356;Schafgattung;Jungschafe über 180 Tage bis 365 Tage alt;582.9972;34.9799
2023;Aadorf;1464;Ziegengattung;Andere Ziegen über 365 Tage alt, männlich;7.926;1.3474
2023;Aadorf;1585;Andere Raufutter verzehrende Nutztiere;Alpakas über 2-jährig;11.0;1.21
2023;Aadorf;1615;Schweinegattung;Nicht säugende Zuchtsauen über 6 Monate alt;41.0;10.66
2023;Aadorf;1753;Nutzgeflügel;Konsumeier produzierende Hennen;1523.0;15.229999999999999
2023;Aadorf;1863;Kaninchen;Andere Kaninchen;14.0;0.0
2023;Aadorf;1871;Übriges Geflügel;Enten (ohne Zierenten);8.0;0.064
2023;Aadorf;1882;Bienenstände/Bienenvölker;Bienenvölker;276.0;0.0
2023;Aadorf;1884;Andere Tiere;Pelztiere aller Art (Nerz);4.0;0.0
2023;Aadorf;1890;Übriges Geflügel;übriges Geflügel (Rebhühner, Pfauen, Fasane, usw.);7.0;0.0
2023;Affeltrangen;1128;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 365 bis 730 Tage;144.63280000000003;57.85319999999998
2023;Affeltrangen;1141;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 160 bis 365 Tage;111.49030000000002;36.792
2023;Affeltrangen;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;316.0551;41.087300000000006
2023;Affeltrangen;1150;Rindergattung und Wasserbüffel;Andere Kühe;78.27399999999999;78.27399999999999
2023;Affeltrangen;1222;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage ab 148 cm;77.3918;54.17409999999999
