jahr;bfs_nr_gemeinde;gemeindename;kultur_code;kultur_bezeichnung;landw_nutzflaeche_in_aren;anzahl_baeume
2023;4401;Arbon;0504;Hafer;114.04;
2023;4401;Arbon;0512;Sommerweizen (ohne Futterweizen der Sortenliste swiss granum);392.87;
2023;4401;Arbon;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);1377.24;
2023;4401;Arbon;0521;Silo- und Grünmais;2040.14;
2023;4401;Arbon;0554;Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);27.83;
2023;4401;Arbon;0703;Obstanlagen (Birnen);89.84;
2023;4401;Arbon;0704;Obstanlagen (Steinobst);25.77;
2023;4401;Arbon;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;110.24;
2023;4401;Arbon;0922;Nussbäume;;34
2023;4401;Arbon;0926;andere Bäume;;3
2023;4406;Dozwil;0551;Einjährige Beeren (z.B. Erdbeeren);280.04;
2023;4406;Dozwil;0601;Kunstwiesen (ohne Weiden);1103.39;
2023;4406;Dozwil;0705;Mehrjährige Beeren;206.27;
2023;4406;Dozwil;0714;Ziersträucher, Ziergehölze,  und Zierstauden;439.6;
2023;4411;Egnach;0504;Hafer;342.03;
2023;4411;Egnach;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);4494.72;
2023;4411;Egnach;0515;Mischel Brotgetreide;99.93;
2023;4411;Egnach;0516;Dinkel;624.46;
2023;4411;Egnach;0524;Kartoffeln;263.69;
2023;4411;Egnach;0526;Sommerraps zur Speiseölgewinnung;192.46;
2023;4411;Egnach;0545;Einjährige Freilandgemüse, ohne Konservengemüse;2275.73;
2023;4411;Egnach;0554;Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);38.69;
2023;4411;Egnach;0578;Hirse zur Körnergewinnung;242.26;
2023;4411;Egnach;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;23.63;
2023;4411;Egnach;0704;Obstanlagen (Steinobst);3260.02;
2023;4411;Egnach;0705;Mehrjährige Beeren;1046.49;
2023;4411;Egnach;0710;Spargel;23.49;
2023;4411;Egnach;0723;Baumschule von Obst und Beeren;129.08;
2023;4411;Egnach;0807;Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament;55.61;
2023;4411;Egnach;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;780.81;
2023;4411;Egnach;0921;Hochstammfeldobstbäume;;12855
2023;4411;Egnach;0922;Nussbäume;;164
2023;4411;Egnach;0923;Edelkastanienbäume;;3
2023;4411;Egnach;10572;Nützlingsstreifen mehrjährig;4.66;
2023;4416;Hefenhofen;0502;Wintergerste;2374.48;
2023;4416;Hefenhofen;0521;Silo- und Grünmais;6338.58;
2023;4416;Hefenhofen;0522;Zuckerrüben;970.53;
2023;4416;Hefenhofen;0545;Einjährige Freilandgemüse, ohne Konservengemüse;1415.64;
2023;4416;Hefenhofen;0612;Wenig intensiv gen. Wiesen (ohne Weiden);320.67;
2023;4416;Hefenhofen;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;125.86;
2023;4416;Hefenhofen;0714;Ziersträucher, Ziergehölze,  und Zierstauden;240.21;
2023;4416;Hefenhofen;0725;Permakultur (kleinräumige Misschung verschiedener Kulturen mit mehr als 50% Spezialkulturen);8.96;
2023;4416;Hefenhofen;0731;Andere Obstanlagen (Kiwi, Holunder, usw.);18.31;
2023;4416;Hefenhofen;0807;Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament;4.83;
2023;4416;Hefenhofen;0922;Nussbäume;;27
2023;4416;Hefenhofen;0924;Einheimische standortgerechte Einzelbäume und Alleen;;61
2023;4416;Hefenhofen;0926;andere Bäume;;14
2023;4421;Horn;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);104.52;
2023;4421;Horn;0521;Silo- und Grünmais;929.45;
2023;4421;Horn;0601;Kunstwiesen (ohne Weiden);1669.59;
2023;4421;Horn;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);9.02;
2023;4421;Horn;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;2.76;
2023;4421;Horn;0921;Hochstammfeldobstbäume;;126
2023;4421;Horn;0926;andere Bäume;;2
2023;4426;Kesswil;0504;Hafer;111.57;
2023;4426;Kesswil;0522;Zuckerrüben;293.55;
2023;4426;Kesswil;0572;Nützlingsstreifen einjährig;19.2;
2023;4426;Kesswil;0612;Wenig intensiv gen. Wiesen (ohne Weiden);186.39;
2023;4426;Kesswil;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;59.56;
2023;4426;Kesswil;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;112.2;
2023;4426;Kesswil;0703;Obstanlagen (Birnen);879.99;
2023;4426;Kesswil;0704;Obstanlagen (Steinobst);484.67;
2023;4426;Kesswil;0705;Mehrjährige Beeren;1557.51;
2023;4426;Kesswil;0714;Ziersträucher, Ziergehölze,  und Zierstauden;1202.66;
2023;4426;Kesswil;0802;Übrige Spezialkulturen in Gewächshäusern mit festem Fundament;294.03;
2023;4426;Kesswil;0811;"Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden";7.05;
2023;4426;Kesswil;0897;Übrige Flächen innerhalb der LN, beitragsberechtigt;1.1;
2023;4426;Kesswil;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;98.93;
2023;4426;Kesswil;0923;Edelkastanienbäume;;7
2023;4426;Kesswil;0926;andere Bäume;;4
2023;4426;Kesswil;10572;Nützlingsstreifen mehrjährig;12.82;
2023;4431;Roggwil (TG);0521;Silo- und Grünmais;7748.28;
2023;4431;Roggwil (TG);0526;Sommerraps zur Speiseölgewinnung;150.26;
2023;4431;Roggwil (TG);0556;Buntbrache;30.44;
2023;4431;Roggwil (TG);0613;Übrige Dauerwiesen (ohne Weiden);43481.77;
2023;4431;Roggwil (TG);0704;Obstanlagen (Steinobst);825.21;
2023;4431;Roggwil (TG);0706;Mehrjährige Gewürz- und Medizinalpflanzen;534.53;
